record_id,species_scientific,species_common,communication_type,frequency_range_hz,vocabulary_size_estimated,syntax_complexity_score,social_structure,learning_capability,alien_analog_score,geographic_region,study_institution,communication_modality,inter_species_transfer,xenolinguistics_relevance_score
XL-0001,Corvus corax,Common Raven,visual_chromatic,367.52-14846.51,3137,1.22,eusocial,Innate,3.39,Atlantic Ocean,Max Planck Evolutionary Anthropology,vocal,No,8.58
XL-0002,Cephalopod octopus,Common Octopus,visual_chromatic,546.66-2905.46,1870,1.89,matriarchal,Learned,1.34,Amazon Rainforest,Max Planck Evolutionary Anthropology,gestural,No,3.25
XL-0003,Myrmecocystus mimicus,Honeypot Ant,visual_chromatic,815.57-20669.86,1566,7.35,patriarchal,Mixed,7.66,Arctic,Project CETI / CUNY,chemical,No,8.4
XL-0004,Cacatua sulphurea,Yellow-crested Cockatoo,tactile,996.84-28430.89,102,5.25,pair_bond,Innate,8.79,Amazon Rainforest,Smithsonian NMNH,electrical,Yes,5.27
XL-0005,Cephalopod octopus,Common Octopus,electrical,587.01-16657.59,3784,4.07,matriarchal,Learned,8.61,South Asia,Cornell Lab of Ornithology,gestural,No,5.05
XL-0006,Cephalopod octopus,Common Octopus,chemical,30.11-4145.77,2508,9.49,matriarchal,Learned,8.29,Mediterranean,Max Planck Evolutionary Anthropology,gestural,No,4.83
XL-0007,Cacatua sulphurea,Yellow-crested Cockatoo,tactile,403.37-23006.16,2459,3.93,matriarchal,Mixed,8.07,Sub-Saharan Africa,SETI Institute,chemical,No,9.82
XL-0008,Psittacus erithacus,African Grey Parrot,electrical,948.69-2889.89,1547,5.27,fission_fusion,Mixed,9.66,Arctic,Cambridge Zoology Lab,gestural,Yes,7.07
XL-0009,Pan troglodytes,Chimpanzee,electrical,32.07-20044.88,224,2.68,matriarchal,Learned,3.55,Amazon Rainforest,Woods Hole Oceanographic,electrical,Yes,5.09
XL-0010,Elephas maximus,Asian Elephant,electrical,518.54-5584.3,3208,2.41,matriarchal,Innate,5.83,Australia,Cambridge Zoology Lab,bioluminescent,Yes,2.17
XL-0011,Psittacus erithacus,African Grey Parrot,multimodal,309.76-24046.96,3894,2.43,pair_bond,Learned,6.29,Australia,Woods Hole Oceanographic,gestural,Yes,9.92
XL-0012,Apis mellifera,Honey Bee,chemical,63.98-11701.93,4312,3.96,pair_bond,Learned,5.14,Pacific Ocean,Cambridge Zoology Lab,chemical,No,4.12
XL-0013,Zalophus californianus,California Sea Lion,tactile,711.65-9407.92,1439,4.74,patriarchal,Mixed,7.6,Australia,Cornell Lab of Ornithology,electrical,Yes,7.29
XL-0014,Tursiops truncatus,Bottlenose Dolphin,chemical,393.56-27823.92,1298,3.46,solitary,Mixed,3.63,Atlantic Ocean,Smithsonian NMNH,bioluminescent,No,9.93
XL-0015,Cephalopod octopus,Common Octopus,acoustic,121.24-10877.6,4137,7.9,fission_fusion,Learned,5.06,Arctic,Smithsonian NMNH,vibrational,Yes,5.16
XL-0016,Tursiops truncatus,Bottlenose Dolphin,electrical,638.87-20264.35,3127,4.09,eusocial,Innate,4.57,Pacific Ocean,Woods Hole Oceanographic,vocal,Yes,3.94
XL-0017,Myrmecocystus mimicus,Honeypot Ant,acoustic,464.25-13897.47,4497,6.91,solitary,Learned,2.26,Arctic,SETI Institute,gestural,Yes,6.46
XL-0018,Pan troglodytes,Chimpanzee,electrical,294.15-15845.65,1384,1.7,matriarchal,Mixed,3.46,Australia,Max Planck Evolutionary Anthropology,gestural,Yes,7.43
XL-0019,Papio hamadryas,Hamadryas Baboon,multimodal,675.05-7022.26,396,8.53,pair_bond,Mixed,6.96,Atlantic Ocean,Cornell Lab of Ornithology,electrical,No,5.0
XL-0020,Balaenoptera musculus,Blue Whale,chemical,4.68-22427.32,2050,4.37,patriarchal,Innate,1.82,South Asia,Project CETI / CUNY,vocal,No,8.38
XL-0021,Megaptera novaeangliae,Humpback Whale,acoustic,668.95-7143.36,1380,7.52,matriarchal,Learned,5.61,Mediterranean,Max Planck Evolutionary Anthropology,vibrational,Yes,6.62
XL-0022,Papio hamadryas,Hamadryas Baboon,acoustic,541.71-27776.59,1908,2.92,fission_fusion,Learned,2.56,South Asia,Max Planck Evolutionary Anthropology,vocal,No,2.91
XL-0023,Psittacus erithacus,African Grey Parrot,multimodal,66.03-23721.98,3027,1.4,patriarchal,Learned,3.71,Australia,Cambridge Zoology Lab,electrical,Yes,3.27
XL-0024,Tursiops truncatus,Bottlenose Dolphin,multimodal,599.87-29062.79,3188,7.1,solitary,Innate,3.99,Mediterranean,MIT CSAIL,vocal,No,1.16
XL-0025,Papio hamadryas,Hamadryas Baboon,multimodal,585.04-11735.57,1909,5.53,solitary,Innate,3.09,Atlantic Ocean,Woods Hole Oceanographic,gestural,No,7.82
XL-0026,Balaenoptera musculus,Blue Whale,electrical,79.4-4154.75,2434,2.82,eusocial,Innate,6.78,Amazon Rainforest,MIT CSAIL,electrical,No,2.21
XL-0027,Elephas maximus,Asian Elephant,tactile,643.61-22721.88,3403,6.83,fission_fusion,Innate,3.06,Mediterranean,Max Planck Evolutionary Anthropology,gestural,Yes,5.85
XL-0028,Papio hamadryas,Hamadryas Baboon,multimodal,917.68-29581.75,1827,6.47,eusocial,Mixed,3.89,Australia,Project CETI / CUNY,vocal,No,1.63
XL-0029,Psittacus erithacus,African Grey Parrot,chemical,52.12-28821.28,1033,1.83,pair_bond,Mixed,8.48,Amazon Rainforest,Smithsonian NMNH,vibrational,Yes,4.84
XL-0030,Apis mellifera,Honey Bee,chemical,311.47-21267.84,3478,2.59,patriarchal,Learned,3.57,Australia,Smithsonian NMNH,chemical,No,1.72
XL-0031,Elephas maximus,Asian Elephant,electrical,398.25-5346.69,3467,5.55,solitary,Learned,7.84,Australia,Project CETI / CUNY,bioluminescent,No,8.69
XL-0032,Cacatua sulphurea,Yellow-crested Cockatoo,tactile,906.46-9683.15,1256,5.98,patriarchal,Learned,4.42,Arctic,MIT CSAIL,chemical,No,6.06
XL-0033,Apis mellifera,Honey Bee,electrical,71.95-4121.32,1608,2.39,patriarchal,Innate,1.12,Mediterranean,MIT CSAIL,bioluminescent,No,9.46
XL-0034,Myrmecocystus mimicus,Honeypot Ant,multimodal,373.15-14621.18,4824,1.64,matriarchal,Innate,4.46,Sub-Saharan Africa,Smithsonian NMNH,bioluminescent,No,7.94
XL-0035,Cacatua sulphurea,Yellow-crested Cockatoo,electrical,722.25-15549.93,3021,7.27,solitary,Learned,9.34,Amazon Rainforest,Smithsonian NMNH,bioluminescent,Yes,9.29
XL-0036,Elephas maximus,Asian Elephant,multimodal,630.96-20279.66,1216,3.35,eusocial,Mixed,2.33,Amazon Rainforest,SETI Institute,vocal,Yes,7.94
XL-0037,Megaptera novaeangliae,Humpback Whale,multimodal,711.61-11919.26,4806,9.77,matriarchal,Mixed,9.19,South Asia,SETI Institute,bioluminescent,No,7.23
XL-0038,Cephalopod octopus,Common Octopus,electrical,967.68-20097.93,4806,3.77,eusocial,Mixed,8.82,Atlantic Ocean,Max Planck Evolutionary Anthropology,gestural,No,7.74
XL-0039,Papio hamadryas,Hamadryas Baboon,acoustic,748.29-21049.65,1384,8.35,matriarchal,Innate,1.63,South Asia,Stanford HAI,bioluminescent,No,7.6
XL-0040,Pan troglodytes,Chimpanzee,chemical,176.41-5663.37,1627,5.38,pair_bond,Innate,5.06,Amazon Rainforest,SETI Institute,gestural,Yes,7.75
XL-0041,Cacatua sulphurea,Yellow-crested Cockatoo,electrical,759.17-8354.44,3615,6.64,pair_bond,Innate,8.82,Sub-Saharan Africa,Cambridge Zoology Lab,chemical,Yes,4.4
XL-0042,Orcinus orca,Killer Whale,chemical,64.27-1021.64,3919,5.37,matriarchal,Innate,1.55,Pacific Ocean,Project CETI / CUNY,vocal,Yes,5.7
XL-0043,Physeter macrocephalus,Sperm Whale,visual_chromatic,375.67-15505.81,3985,5.26,fission_fusion,Mixed,4.87,Mediterranean,Max Planck Evolutionary Anthropology,chemical,Yes,9.47
XL-0044,Megaptera novaeangliae,Humpback Whale,visual_chromatic,398.48-18150.86,2710,8.26,matriarchal,Learned,8.83,South Asia,SETI Institute,vocal,Yes,8.82
XL-0045,Orcinus orca,Killer Whale,chemical,951.06-22767.67,3023,5.07,solitary,Mixed,8.83,South Asia,Smithsonian NMNH,vocal,No,1.15
XL-0046,Elephas maximus,Asian Elephant,multimodal,873.44-28994.81,2671,7.1,patriarchal,Mixed,5.36,Atlantic Ocean,Max Planck Evolutionary Anthropology,bioluminescent,No,9.88
XL-0047,Zalophus californianus,California Sea Lion,electrical,699.5-3702.67,2412,6.46,solitary,Innate,8.83,Pacific Ocean,SETI Institute,bioluminescent,Yes,3.71
XL-0048,Megaptera novaeangliae,Humpback Whale,electrical,996.3-29626.95,1381,9.07,matriarchal,Learned,6.96,Amazon Rainforest,Smithsonian NMNH,gestural,Yes,7.78
XL-0049,Megaptera novaeangliae,Humpback Whale,multimodal,699.91-3847.98,244,2.44,fission_fusion,Learned,7.9,Amazon Rainforest,Woods Hole Oceanographic,electrical,No,9.56
XL-0050,Megaptera novaeangliae,Humpback Whale,tactile,123.11-4146.47,4035,1.81,solitary,Learned,8.85,Atlantic Ocean,Max Planck Evolutionary Anthropology,bioluminescent,No,6.89
XL-0051,Cacatua sulphurea,Yellow-crested Cockatoo,chemical,561.9-25404.38,1836,3.33,fission_fusion,Innate,2.0,Mediterranean,Smithsonian NMNH,electrical,Yes,6.16
XL-0052,Pan troglodytes,Chimpanzee,tactile,853.33-28525.91,18,3.8,pair_bond,Mixed,2.71,South Asia,Cornell Lab of Ornithology,chemical,No,8.18
XL-0053,Papio hamadryas,Hamadryas Baboon,tactile,796.57-15917.38,4844,3.0,eusocial,Innate,5.84,Australia,Max Planck Evolutionary Anthropology,gestural,No,8.53
XL-0054,Apis mellifera,Honey Bee,visual_chromatic,679.98-5040.57,1199,7.72,solitary,Innate,6.39,Arctic,Stanford HAI,electrical,Yes,3.46
XL-0055,Zalophus californianus,California Sea Lion,chemical,706.53-14628.9,4060,3.62,eusocial,Innate,9.83,Mediterranean,SETI Institute,electrical,Yes,8.63
XL-0056,Papio hamadryas,Hamadryas Baboon,acoustic,810.42-21152.19,1471,8.71,solitary,Learned,3.69,Sub-Saharan Africa,Project CETI / CUNY,vibrational,No,4.04
XL-0057,Megaptera novaeangliae,Humpback Whale,electrical,473.43-10639.51,3208,1.65,solitary,Learned,3.54,Amazon Rainforest,Stanford HAI,bioluminescent,Yes,2.18
XL-0058,Cacatua sulphurea,Yellow-crested Cockatoo,acoustic,791.28-25914.5,2495,5.12,patriarchal,Mixed,2.24,Australia,Woods Hole Oceanographic,gestural,Yes,2.96
XL-0059,Myrmecocystus mimicus,Honeypot Ant,visual_chromatic,195.66-19116.44,4720,1.92,patriarchal,Learned,9.55,South Asia,SETI Institute,vocal,Yes,4.2
XL-0060,Apis mellifera,Honey Bee,tactile,179.64-1796.08,2777,6.34,patriarchal,Mixed,7.5,Amazon Rainforest,Project CETI / CUNY,vocal,Yes,4.57
